gt_x_m	gt_y_m	pred_x_m	pred_y_m	true_area
7.854547	2.5781221	7.7300224	2.2475958	B
8.121023	5.931778	7.5038857	6.569027	B
11.601613	31.19503	11.774074	31.387321	C
7.960836	24.42833	8.200292	24.74376	C
8.084644	27.811867	8.123645	27.159615	C
7.934851	26.651009	8.461236	26.406322	C
8.203294	27.202988	8.4894495	27.062645	C
7.836391	27.716816	8.123934	28.23122	C
10.390083	30.85896	10.786306	31.675678	C
11.2260475	31.080269	11.349375	31.746601	C
10.551752	30.89117	11.011052	31.230743	C
7.934014	30.124172	8.2639885	28.723942	C
11.447676	31.148949	11.391801	31.089233	C
7.819402	29.307796	7.99665	29.3558	C
11.447676	31.148949	11.497621	31.209694	C
9.945055	30.772652	10.311846	31.093819	C
9.060127	30.65023	9.336241	31.214668	C
7.97417	29.592644	8.206634	28.582928	C
9.722318	30.870842	10.329694	31.170708	C
7.809706	29.690079	7.711358	29.895523	C
7.9095283	29.492508	8.275646	28.95311	C
8.879646	30.464363	9.336945	30.320229	C
7.996018	22.784267	8.200943	23.090782	C
8.42907	24.905735	8.246455	25.007133	C
11.447676	31.148949	11.724351	31.514488	C
11.601613	31.19503	11.5543165	31.079376	C
8.266486	26.710522	8.603578	25.864277	C
8.297082	26.464306	8.523429	25.895298	C
7.920035	26.93874	8.479151	26.01373	C
8.357807	25.847183	7.878823	25.502972	C
8.00477	23.072289	8.166375	22.91277	C
8.695932	30.373611	8.746623	29.497883	C
8.417875	24.699223	8.13985	25.37849	C
8.232872	30.462334	8.297944	29.968243	C
9.985442	30.780323	10.3486395	31.14367	C
8.092925	27.771332	8.120199	26.966358	C
10.910252	30.985771	11.477941	31.659779	C
8.5035715	30.219936	8.735072	29.362038	C
8.011577	23.319107	8.171533	23.510708	C
8.117583	27.649555	8.055008	27.480736	C
10.11205	31.009087	10.743528	31.729557	C
10.27224	31.05045	10.642115	31.294605	C
10.034929	30.979301	10.314573	30.79256	C
7.985	21.649998	8.112079	21.636223	C
8.841567	30.448421	9.297309	30.070786	C
7.8881335	28.908646	7.8211784	29.1433	C
7.848846	29.237438	7.778408	29.014874	C
11.601613	31.19503	11.742845	31.352707	C
8.031526	23.091972	8.198596	23.307373	C
7.7903056	28.114857	8.09094	27.670559	C
8.304178	24.00668	8.266636	24.1628	C
9.458568	30.752129	9.244738	29.445297	C
10.989168	31.009285	11.383611	31.741795	C
8.067703	23.253708	8.191964	23.2981	C
9.344001	30.7042	9.653324	30.908112	C
7.8270507	27.798649	7.955649	27.549187	C
11.009175	31.106178	11.240031	30.189121	C
7.897119	30.05	8.141911	28.7155	C
11.601613	31.19503	11.430135	30.952438	C
8.125772	27.609142	8.0559435	27.264866	C
10.312725	31.058357	10.602725	30.664814	C
8.109362	27.690292	8.078015	27.394417	C
8.474912	30.190208	8.74562	29.591076	C
7.985	21.649998	8.048636	21.793755	C
7.753478	28.419533	8.023001	28.041069	C
21.370495	31.5746	21.111792	31.22892	D
26.68389	32.921875	26.751392	33.691677	D
26.949934	32.82058	27.163013	33.835953	D
24.810968	32.3572	25.305193	33.165573	D
24.346432	32.199085	24.704388	32.78919	D
21.433655	31.664501	22.010208	32.160084	D
20.684734	31.450134	21.19581	31.733292	D
19.241009	31.133778	19.099333	31.15694	D
19.968279	31.27267	19.732391	31.175682	D
23.851473	32.129093	24.268044	32.74533	D
23.49503	32.02658	22.480549	32.34246	D
19.634457	31.212166	19.236029	30.78049	D
20.56922	31.409237	21.53311	31.790943	D
15.140761	30.464157	15.61636	31.06683	D
19.119757	31.111183	19.031452	31.165562	D
21.113543	31.593681	21.643263	32.034374	D
12.960264	30.250671	12.758092	30.43819	D
15.059472	30.452934	15.541235	31.226501	D
13.834324	30.296398	13.037496	29.949112	D
21.246897	31.550152	21.413069	32.10235	D
20.371721	31.352482	21.29294	31.245163	D
24.21076	32.217285	24.681774	31.937874	D
18.553204	31.007832	19.09272	31.694359	D
16.402967	30.648655	16.441029	31.08083	D
12.684999	30.25	12.42506	30.828129	D
16.76875	30.705894	16.64184	31.451912	D
20.276295	31.361126	20.864584	31.60498	D
19.794498	31.250477	19.640545	31.261662	D
16.0701	30.58485	15.851617	30.147457	D
21.937471	31.688934	21.677927	31.140186	D
19.64523	31.210205	19.271414	30.771927	D
23.811905	32.11767	24.256536	32.878975	D
19.15292	31.099083	19.152536	31.194294	D
26.701754	32.7931	27.377033	34.031364	D
17.89736	30.866673	17.772203	31.025448	D
24.748785	32.280785	24.771484	33.029778	D
27.543152	33.209465	27.398396	33.745564	D
26.079243	32.72652	26.443596	33.86072	D
12.690564	30.25	12.59335	30.056274	D
25.291138	32.484325	26.238401	34.189896	D
24.144735	32.15885	24.196539	32.644512	D
26.526928	32.870678	26.930058	33.96842	D
15.947913	30.567253	16.372526	30.854824	D
12.890534	30.250526	12.2884245	30.328533	D
27.77685	33.289948	27.74234	34.2154	D
22.81192	31.872768	23.015697	32.43667	D
20.235832	31.353092	20.694897	31.548592	D
15.53984	30.509903	16.000076	31.157654	D
24.467327	32.22341	24.990377	33.09618	D
27.955896	33.367336	28.406462	34.562504	D
15.9148855	30.574741	16.20589	30.69751	D
20.356928	31.377262	20.536983	31.368305	D
16.844688	30.699768	16.601622	31.136845	D
26.683609	32.7869	26.33398	33.54966	D
25.646791	32.5904	25.270216	33.136463	D
27.955896	33.367336	28.152525	34.658337	D
18.262823	30.930042	18.024424	31.314732	D
16.72819	30.69949	16.784355	31.50777	D
27.73789	33.27643	27.57725	34.064503	D
17.775589	30.84653	16.902243	31.118084	D
13.916066	30.30616	13.42959	30.635876	D
14.314526	30.346062	13.772665	30.308838	D
15.009041	30.438328	15.147233	30.723114	D
19.8748	31.269676	19.696655	31.242085	D
18.10795	30.928974	18.310005	31.25185	D
18.343952	30.944244	18.193718	31.229412	D
18.181602	30.91581	18.002659	31.46978	D
16.681547	30.67508	16.814749	31.528038	D
21.69125	31.638794	21.649864	31.490215	D
25.843576	32.65199	25.698044	32.968697	D
18.830507	31.03143	19.081049	31.28975	D
24.785856	32.28837	24.889284	33.138714	D
20.843765	31.471733	20.769733	31.927376	D
17.25618	30.784672	16.79784	31.531929	D
13.248895	30.252625	13.019453	30.323727	D
13.439625	30.25829	13.269612	30.057682	D
23.134935	31.964779	23.125425	32.63581	D
14.28377	30.351254	14.732035	31.160278	D
20.074757	31.318127	20.56037	31.678509	D
19.685543	31.217964	19.38969	30.85952	D
28.63318	34.947105	28.470537	35.36579	E
28.602577	34.573902	28.58778	35.754547	E
28.23716	32.339813	27.983389	32.51045	E
28.404173	32.29288	28.150042	33.63342	E
28.643276	35.11348	28.188782	35.65527	E
28.629879	34.905582	27.276228	33.480362	E
28.582613	36.44018	27.940203	36.1387	E
27.237549	39.45588	26.992195	39.38602	E
27.84098	38.95717	27.661032	39.157413	E
28.448574	31.373283	28.194	32.797306	E
28.124115	33.623455	28.099174	33.719505	E
28.212904	37.931965	28.294407	38.56037	E
28.261951	32.008274	28.091091	32.81142	E
